sektor,tahun,bulan,jumlah
Transportasi dan Pergudangan,2013,Agustus,4627820
Transportasi dan Pergudangan,2014,Februari,4737105
Transportasi dan Pergudangan,2014,Agustus,4610053
Transportasi dan Pergudangan,2015,Februari,4624232
Transportasi dan Pergudangan,2015,Agustus,4621212
Transportasi dan Pergudangan,2016,Februari,4714717
Transportasi dan Pergudangan,2016,Agustus,4970325
Transportasi dan Pergudangan,2017,Februari,4936126
Transportasi dan Pergudangan,2017,Agustus,5064247
Transportasi dan Pergudangan,2018,Februari,5181080
Transportasi dan Pergudangan,2018,Agustus,5491679
Transportasi dan Pergudangan,2019,Februari,5290506
Transportasi dan Pergudangan,2019,Agustus,5656314
Transportasi dan Pergudangan,2020,Februari,5509153
Transportasi dan Pergudangan,2020,Agustus,5591941
Transportasi dan Pergudangan,2021,Februari,5307649
Transportasi dan Pergudangan,2021,Agustus,5443654
Transportasi dan Pergudangan,2022,Februari,5710510
Transportasi dan Pergudangan,2022,Agustus,5805308
Transportasi dan Pergudangan,2023,Februari,5835171
Transportasi dan Pergudangan,2023,Agustus,6147477
Transportasi dan Pergudangan,2024,Februari,5900351
Transportasi dan Pergudangan,2024,Agustus,6199637
Penyediaan Akomodasi dan Penyediaan Makan Minum,2011,Februari,4425069
Penyediaan Akomodasi dan Penyediaan Makan Minum,2011,Agustus,3613492
Penyediaan Akomodasi dan Penyediaan Makan Minum,2012,Februari,4083379
Penyediaan Akomodasi dan Penyediaan Makan Minum,2012,Agustus,3780890
Penyediaan Akomodasi dan Penyediaan Makan Minum,2013,Februari,4764441
Penyediaan Akomodasi dan Penyediaan Makan Minum,2013,Agustus,4243775
Penyediaan Akomodasi dan Penyediaan Makan Minum,2014,Februari,4831023
Penyediaan Akomodasi dan Penyediaan Makan Minum,2014,Agustus,4817587
Penyediaan Akomodasi dan Penyediaan Makan Minum,2015,Februari,5095742
Penyediaan Akomodasi dan Penyediaan Makan Minum,2015,Agustus,5238142
Penyediaan Akomodasi dan Penyediaan Makan Minum,2016,Februari,5633520
Penyediaan Akomodasi dan Penyediaan Makan Minum,2016,Agustus,6251527
Penyediaan Akomodasi dan Penyediaan Makan Minum,2017,Februari,7082086
Penyediaan Akomodasi dan Penyediaan Makan Minum,2017,Agustus,6904745
Penyediaan Akomodasi dan Penyediaan Makan Minum,2018,Februari,8195757
Penyediaan Akomodasi dan Penyediaan Makan Minum,2018,Agustus,7766077
Penyediaan Akomodasi dan Penyediaan Makan Minum,2019,Februari,8894194
Penyediaan Akomodasi dan Penyediaan Makan Minum,2019,Agustus,8562226
Penyediaan Akomodasi dan Penyediaan Makan Minum,2020,Februari,9059188
Penyediaan Akomodasi dan Penyediaan Makan Minum,2020,Agustus,8543794
Penyediaan Akomodasi dan Penyediaan Makan Minum,2021,Februari,9167542
Penyediaan Akomodasi dan Penyediaan Makan Minum,2021,Agustus,9180340
Penyediaan Akomodasi dan Penyediaan Makan Minum,2022,Februari,9635433
Penyediaan Akomodasi dan Penyediaan Makan Minum,2022,Agustus,9607709
Penyediaan Akomodasi dan Penyediaan Makan Minum,2023,Februari,10146818
Penyediaan Akomodasi dan Penyediaan Makan Minum,2023,Agustus,10785255
Penyediaan Akomodasi dan Penyediaan Makan Minum,2024,Februari,11108827
Penyediaan Akomodasi dan Penyediaan Makan Minum,2024,Agustus,11270801
Informasi dan Komunikasi,2011,Februari,904607
Informasi dan Komunikasi,2011,Agustus,561860
Informasi dan Komunikasi,2012,Februari,548404
Informasi dan Komunikasi,2012,Agustus,536486
Informasi dan Komunikasi,2013,Februari,622741
Informasi dan Komunikasi,2013,Agustus,538348
Informasi dan Komunikasi,2014,Februari,671232
Informasi dan Komunikasi,2014,Agustus,570164
Informasi dan Komunikasi,2015,Februari,608620
Informasi dan Komunikasi,2015,Agustus,541360
Informasi dan Komunikasi,2016,Februari,640914
Informasi dan Komunikasi,2016,Agustus,683504
Informasi dan Komunikasi,2017,Februari,848882
Informasi dan Komunikasi,2017,Agustus,819210
Informasi dan Komunikasi,2018,Februari,1008953
Informasi dan Komunikasi,2018,Agustus,904536
Informasi dan Komunikasi,2019,Februari,951756
Informasi dan Komunikasi,2019,Agustus,921191
Informasi dan Komunikasi,2020,Februari,962935
Informasi dan Komunikasi,2020,Agustus,933273
Informasi dan Komunikasi,2021,Februari,1083471
Informasi dan Komunikasi,2021,Agustus,998199
Informasi dan Komunikasi,2022,Februari,1097558
Informasi dan Komunikasi,2022,Agustus,1009091
Informasi dan Komunikasi,2023,Februari,1192482
Informasi dan Komunikasi,2023,Agustus,989872
Informasi dan Komunikasi,2024,Februari,1230780
Informasi dan Komunikasi,2024,Agustus,1026529
Jasa Keuangan dan Asuransi,2011,Februari,1070775
Jasa Keuangan dan Asuransi,2011,Agustus,1237200
Jasa Keuangan dan Asuransi,2012,Februari,1477978
Jasa Keuangan dan Asuransi,2012,Agustus,1399229
Jasa Keuangan dan Asuransi,2013,Februari,1587269
Jasa Keuangan dan Asuransi,2013,Agustus,1495532
Jasa Keuangan dan Asuransi,2014,Februari,1619931
Jasa Keuangan dan Asuransi,2014,Agustus,1512527
Jasa Keuangan dan Asuransi,2015,Februari,1801355
Jasa Keuangan dan Asuransi,2015,Agustus,1670111
Jasa Keuangan dan Asuransi,2016,Februari,1726355
Jasa Keuangan dan Asuransi,2016,Agustus,1730759
Jasa Keuangan dan Asuransi,2017,Februari,1792228
Jasa Keuangan dan Asuransi,2017,Agustus,1724544
Jasa Keuangan dan Asuransi,2018,Februari,1713872
Jasa Keuangan dan Asuransi,2018,Agustus,1819837
Jasa Keuangan dan Asuransi,2019,Februari,1810255
Jasa Keuangan dan Asuransi,2019,Agustus,1775289
Jasa Keuangan dan Asuransi,2020,Februari,1819735
Jasa Keuangan dan Asuransi,2020,Agustus,1557927
Jasa Keuangan dan Asuransi,2021,Februari,1513576
Jasa Keuangan dan Asuransi,2021,Agustus,1597805
Jasa Keuangan dan Asuransi,2022,Februari,1512007
Jasa Keuangan dan Asuransi,2022,Agustus,1626460
Jasa Keuangan dan Asuransi,2023,Februari,1600153
Jasa Keuangan dan Asuransi,2023,Agustus,1637167
Jasa Keuangan dan Asuransi,2024,Februari,1638487
Jasa Keuangan dan Asuransi,2024,Agustus,1711261
Real Estat,2011,Februari,164569
Real Estat,2011,Agustus,176810
Real Estat,2012,Februari,162204
Real Estat,2012,Agustus,215792
Real Estat,2013,Februari,219264
Real Estat,2013,Agustus,196364
Real Estat,2014,Februari,247111
Real Estat,2014,Agustus,266754
Real Estat,2015,Februari,294392
Real Estat,2015,Agustus,289926
Real Estat,2016,Februari,314449
Real Estat,2016,Agustus,355746
Real Estat,2017,Februari,333252
Real Estat,2017,Agustus,305066
Real Estat,2018,Februari,270013
Real Estat,2018,Agustus,393758
Real Estat,2019,Februari,340585
Real Estat,2019,Agustus,403906
Real Estat,2020,Februari,426483
Real Estat,2020,Agustus,393665
Real Estat,2021,Februari,471378
Real Estat,2021,Agustus,355955
Real Estat,2022,Februari,450519
Real Estat,2022,Agustus,450007
Real Estat,2023,Februari,477275
Real Estat,2023,Agustus,481752
Real Estat,2024,Februari,479902
Real Estat,2024,Agustus,559307
Jasa Perusahaan,2011,Februari,986606
Jasa Perusahaan,2011,Agustus,1158947
Jasa Perusahaan,2012,Februari,1225395
Jasa Perusahaan,2012,Agustus,1124363
Jasa Perusahaan,2013,Februari,1319185
Jasa Perusahaan,2013,Agustus,1232866
Jasa Perusahaan,2014,Februari,1379880
Jasa Perusahaan,2014,Agustus,1271656
Jasa Perusahaan,2015,Februari,1569456
Jasa Perusahaan,2015,Agustus,1365643
Jasa Perusahaan,2016,Februari,1354488
Jasa Perusahaan,2016,Agustus,1437413
Jasa Perusahaan,2017,Februari,1446841
Jasa Perusahaan,2017,Agustus,1663893
Jasa Perusahaan,2018,Februari,1603695
Jasa Perusahaan,2018,Agustus,1684852
Jasa Perusahaan,2019,Februari,1706268
Jasa Perusahaan,2019,Agustus,1943089
Jasa Perusahaan,2020,Februari,1824699
Jasa Perusahaan,2020,Agustus,1796755
Jasa Perusahaan,2021,Februari,1891659
Jasa Perusahaan,2021,Agustus,2017071
Jasa Perusahaan,2022,Februari,1940203
Jasa Perusahaan,2022,Agustus,2237712
Jasa Perusahaan,2023,Februari,2057271
Jasa Perusahaan,2023,Agustus,2331434
Jasa Perusahaan,2024,Februari,2214743
Jasa Perusahaan,2024,Agustus,2445403
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2011,Februari,3992884
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2011,Agustus,3829555
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2012,Februari,4002213
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2012,Agustus,3592114
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2013,Februari,3943017
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2013,Agustus,3655197
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2014,Februari,4178475
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2014,Agustus,3663979
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2015,Februari,4038043
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2015,Agustus,4030001
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2016,Februari,4392825
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2016,Agustus,4986503
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2017,Februari,5024461
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2017,Agustus,4581690
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2018,Februari,5452858
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2018,Agustus,4766102
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2019,Februari,5239129
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2019,Agustus,4947873
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2020,Februari,5435306
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2020,Agustus,4569946
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,Februari,4657639
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,Agustus,4848980
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Februari,4633405
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Agustus,4875999
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Februari,4715229
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Agustus,4880331
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,Februari,5465768
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,Agustus,5093430
Jasa Pendidikan,2011,Februari,5350894
Jasa Pendidikan,2011,Agustus,4750440
Jasa Pendidikan,2012,Februari,5505986
Jasa Pendidikan,2012,Agustus,5049471
Jasa Pendidikan,2013,Februari,5712986
Jasa Pendidikan,2013,Agustus,5047944
Jasa Pendidikan,2014,Februari,5815587
Jasa Pendidikan,2014,Agustus,5427656
Jasa Pendidikan,2015,Februari,5891633
Jasa Pendidikan,2015,Agustus,5605822
Jasa Pendidikan,2016,Februari,5737573
Jasa Pendidikan,2016,Agustus,6085285
Jasa Pendidikan,2017,Februari,6390920
Jasa Pendidikan,2017,Agustus,5978228
Jasa Pendidikan,2018,Februari,6415102
Jasa Pendidikan,2018,Agustus,6167853
Jasa Pendidikan,2019,Februari,6715049
Jasa Pendidikan,2019,Agustus,6416322
Jasa Pendidikan,2020,Februari,7110557
Jasa Pendidikan,2020,Agustus,6028610
Jasa Pendidikan,2021,Februari,6493179
Jasa Pendidikan,2021,Agustus,6491628
Jasa Pendidikan,2022,Februari,6626638
Jasa Pendidikan,2022,Agustus,6512249
Jasa Pendidikan,2023,Februari,673607
Jasa Pendidikan,2023,Agustus,6921209
Jasa Pendidikan,2024,Februari,7259205
Jasa Pendidikan,2024,Agustus,7158071
Jasa Kesehatan dan Kegiatan Sosial,2011,Februari,1270096
Jasa Kesehatan dan Kegiatan Sosial,2011,Agustus,1160578
Jasa Kesehatan dan Kegiatan Sosial,2012,Februari,1293631
Jasa Kesehatan dan Kegiatan Sosial,2012,Agustus,1236893
Jasa Kesehatan dan Kegiatan Sosial,2013,Februari,1425969
Jasa Kesehatan dan Kegiatan Sosial,2013,Agustus,1286542
Jasa Kesehatan dan Kegiatan Sosial,2014,Februari,1489880
Jasa Kesehatan dan Kegiatan Sosial,2014,Agustus,1329548
Jasa Kesehatan dan Kegiatan Sosial,2015,Februari,1551229
Jasa Kesehatan dan Kegiatan Sosial,2015,Agustus,1459731
Jasa Kesehatan dan Kegiatan Sosial,2016,Februari,1643879
Jasa Kesehatan dan Kegiatan Sosial,2016,Agustus,1753332
Jasa Kesehatan dan Kegiatan Sosial,2017,Februari,1843371
Jasa Kesehatan dan Kegiatan Sosial,2017,Agustus,1781975
Jasa Kesehatan dan Kegiatan Sosial,2018,Februari,2047495
Jasa Kesehatan dan Kegiatan Sosial,2018,Agustus,1879729
Jasa Kesehatan dan Kegiatan Sosial,2019,Februari,2016514
Jasa Kesehatan dan Kegiatan Sosial,2019,Agustus,1982709
Jasa Kesehatan dan Kegiatan Sosial,2020,Februari,2219080
Jasa Kesehatan dan Kegiatan Sosial,2020,Agustus,2005522
Jasa Kesehatan dan Kegiatan Sosial,2021,Februari,2307668
Jasa Kesehatan dan Kegiatan Sosial,2021,Agustus,2197328
Jasa Kesehatan dan Kegiatan Sosial,2022,Februari,2384745
Jasa Kesehatan dan Kegiatan Sosial,2022,Agustus,2234153
Jasa Kesehatan dan Kegiatan Sosial,2023,Februari,2476565
Jasa Kesehatan dan Kegiatan Sosial,2023,Agustus,2210722
Jasa Kesehatan dan Kegiatan Sosial,2024,Februari,2497559
Jasa Kesehatan dan Kegiatan Sosial,2024,Agustus,2374984
Jasa Lainnya,2011,Februari,5402669
Jasa Lainnya,2011,Agustus,4971072
Jasa Lainnya,2012,Februari,5515969
Jasa Lainnya,2012,Agustus,5714339
Jasa Lainnya,2013,Februari,5202900
Jasa Lainnya,2013,Agustus,6531537
Jasa Lainnya,2014,Februari,5358975
Jasa Lainnya,2014,Agustus,6484857
Jasa Lainnya,2015,Februari,6280760
Jasa Lainnya,2015,Agustus,5368121
Jasa Lainnya,2016,Februari,5935417
Jasa Lainnya,2016,Agustus,5005101
Jasa Lainnya,2017,Februari,5639871
Jasa Lainnya,2017,Agustus,5997759
Jasa Lainnya,2018,Februari,6345351
Jasa Lainnya,2018,Agustus,6087014
Jasa Lainnya,2019,Februari,6419926
Jasa Lainnya,2019,Agustus,6364292
Jasa Lainnya,2020,Februari,6219537
Jasa Lainnya,2020,Agustus,6409568
Jasa Lainnya,2021,Februari,6356738
Jasa Lainnya,2021,Agustus,5773879
Jasa Lainnya,2022,Februari,5892267
Jasa Lainnya,2022,Agustus,6033962
Jasa Lainnya,2023,Februari,6403675
Jasa Lainnya,2023,Agustus,6389916
Jasa Lainnya,2024,Februari,6412119
Jasa Lainnya,2024,Agustus,6589701
